Date,HPI
1/1/2000,57.10
2/1/2000,57.40
3/1/2000,57.50
4/1/2000,57.60
5/1/2000,57.80
6/1/2000,57.80
7/1/2000,58.00
8/1/2000,58.10
9/1/2000,58.30
10/1/2000,58.40
11/1/2000,58.80
12/1/2000,58.90
1/1/2001,59.00
2/1/2001,59.10
3/1/2001,59.40
4/1/2001,59.50
5/1/2001,59.60
6/1/2001,59.80
7/1/2001,59.90
8/1/2001,60.00
9/1/2001,60.10
10/1/2001,60.10
11/1/2001,60.30
12/1/2001,60.30
1/1/2002,60.60
2/1/2002,61.00
3/1/2002,61.10
4/1/2002,61.40
5/1/2002,61.80
6/1/2002,61.90
7/1/2002,62.00
8/1/2002,62.40
9/1/2002,62.40
10/1/2002,62.90
11/1/2002,63.10
12/1/2002,63.20
1/1/2003,63.30
2/1/2003,63.60
3/1/2003,63.70
4/1/2003,63.90
5/1/2003,64.40
6/1/2003,64.50
7/1/2003,64.80
8/1/2003,65.20
9/1/2003,65.40
10/1/2003,65.60
11/1/2003,66.20
12/1/2003,66.30
1/1/2004,66.40
2/1/2004,66.70
3/1/2004,66.90
4/1/2004,67.50
5/1/2004,68.20
6/1/2004,68.80
7/1/2004,68.80
8/1/2004,69.20
9/1/2004,69.30
10/1/2004,69.40
11/1/2004,69.70
12/1/2004,69.90
1/1/2005,70.00
2/1/2005,70.20
3/1/2005,70.50
4/1/2005,70.80
5/1/2005,71.20
6/1/2005,71.80
7/1/2005,71.90
8/1/2005,72.00
9/1/2005,72.20
10/1/2005,72.50
11/1/2005,72.60
12/1/2005,72.60
1/1/2006,73.10
2/1/2006,73.30
3/1/2006,73.40
4/1/2006,73.60
5/1/2006,73.80
6/1/2006,74.10
7/1/2006,74.40
8/1/2006,74.80
9/1/2006,74.90
10/1/2006,74.80
11/1/2006,75.10
12/1/2006,75.10
1/1/2007,75.20
2/1/2007,75.30
3/1/2007,75.40
4/1/2007,75.40
5/1/2007,75.70
6/1/2007,76.10
7/1/2007,76.20
8/1/2007,76.50
9/1/2007,76.70
10/1/2007,76.70
11/1/2007,77.20
12/1/2007,77.30
1/1/2008,78.00
2/1/2008,78.40
3/1/2008,78.60
4/1/2008,78.70
5/1/2008,78.70
6/1/2008,79.00
7/1/2008,79.00
8/1/2008,79.10
9/1/2008,79.10
10/1/2008,79.10
11/1/2008,79.00
12/1/2008,79.10
1/1/2009,79.10
2/1/2009,79.10
3/1/2009,78.90
4/1/2009,78.50
5/1/2009,78.30
6/1/2009,78.30
7/1/2009,78.40
8/1/2009,78.50
9/1/2009,78.90
10/1/2009,79.10
11/1/2009,79.40
12/1/2009,79.90
1/1/2010,80.20
2/1/2010,80.00
3/1/2010,80.20
4/1/2010,80.30
5/1/2010,80.70
6/1/2010,80.90
7/1/2010,80.80
8/1/2010,81.00
9/1/2010,81.00
10/1/2010,81.20
11/1/2010,81.50
12/1/2010,81.60
1/1/2011,81.80
2/1/2011,82.20
3/1/2011,82.30
4/1/2011,82.80
5/1/2011,83.30
6/1/2011,83.80
7/1/2011,84.00
8/1/2011,84.20
9/1/2011,84.40
10/1/2011,84.70
11/1/2011,85.30
12/1/2011,85.40
1/1/2012,85.50
2/1/2012,85.90
3/1/2012,86.30
4/1/2012,86.50
5/1/2012,86.90
6/1/2012,87.20
7/1/2012,87.30
8/1/2012,87.50
9/1/2012,87.80
10/1/2012,88.00
11/1/2012,88.20
12/1/2012,88.40
1/1/2013,88.50
2/1/2013,88.50
3/1/2013,88.60
4/1/2013,88.70
5/1/2013,88.80
6/1/2013,88.80
7/1/2013,89.00
8/1/2013,89.10
9/1/2013,89.10
10/1/2013,89.20
11/1/2013,89.30
12/1/2013,89.40
1/1/2014,89.50
2/1/2014,89.80
3/1/2014,89.80
4/1/2014,90.20
5/1/2014,90.20
6/1/2014,90.40
7/1/2014,90.40
8/1/2014,90.70
9/1/2014,90.90
10/1/2014,91.00
11/1/2014,91.10
12/1/2014,91.20
1/1/2015,91.20
2/1/2015,91.40
3/1/2015,91.60
4/1/2015,91.80
5/1/2015,92.10
6/1/2015,92.60
7/1/2015,92.80
8/1/2015,93.30
9/1/2015,93.40
10/1/2015,93.80
11/1/2015,93.90
12/1/2015,94.10
1/1/2016,94.20
2/1/2016,94.60
3/1/2016,94.80
4/1/2016,95.30
5/1/2016,96.60
6/1/2016,97.00
7/1/2016,97.80
8/1/2016,98.20
9/1/2016,98.50
10/1/2016,99.50
11/1/2016,99.90
12/1/2016,100.00
1/1/2017,100.30
2/1/2017,101.10
3/1/2017,101.40
4/1/2017,103.00
5/1/2017,103.80
6/1/2017,103.90
7/1/2017,104.10
8/1/2017,104.20
9/1/2017,104.30
10/1/2017,104.40
11/1/2017,104.50
12/1/2017,104.50
1/1/2018,104.60
2/1/2018,104.30
3/1/2018,104.30
4/1/2018,104.10
5/1/2018,104.10
6/1/2018,104.20
7/1/2018,104.30
8/1/2018,104.40
9/1/2018,104.40
10/1/2018,104.50
11/1/2018,104.60
12/1/2018,104.60
1/1/2019,104.50
2/1/2019,104.50
3/1/2019,104.60
4/1/2019,104.60
5/1/2019,104.60
6/1/2019,104.70
7/1/2019,104.50
8/1/2019,104.50
9/1/2019,105.00
10/1/2019,105.20
11/1/2019,105.30
12/1/2019,105.50
1/1/2020,105.40
2/1/2020,105.90
3/1/2020,106.30
4/1/2020,106.40
5/1/2020,106.50
6/1/2020,106.70
7/1/2020,107.20
8/1/2020,107.70
9/1/2020,108.80
10/1/2020,109.50
11/1/2020,110.20
12/1/2020,110.80
1/1/2021,112.20
