date,HPI
2000/1,57.1
2000/2,57.4
2000/3,57.5
2000/4,57.6
2000/5,57.8
2000/6,57.8
2000/7,58
2000/8,58.1
2000/9,58.3
2000/10,58.4
2000/11,58.8
2000/12,58.9
2001/1,59
2001/2,59.1
2001/3,59.4
2001/4,59.5
2001/5,59.6
2001/6,59.8
2001/7,59.9
2001/8,60
2001/9,60.1
2001/10,60.1
2001/11,60.3
2001/12,60.3
2002/1,60.6
2002/2,61
2002/3,61.1
2002/4,61.4
2002/5,61.8
2002/6,61.9
2002/7,62
2002/8,62.4
2002/9,62.4
2002/10,62.9
2002/11,63.1
2002/12,63.2
2003/1,63.3
2003/2,63.6
2003/3,63.7
2003/4,63.9
2003/5,64.4
2003/6,64.5
2003/7,64.8
2003/8,65.2
2003/9,65.4
2003/10,65.6
2003/11,66.2
2003/12,66.3
2004/1,66.4
2004/2,66.7
2004/3,66.9
2004/4,67.5
2004/5,68.2
2004/6,68.8
2004/7,68.8
2004/8,69.2
2004/9,69.3
2004/10,69.4
2004/11,69.7
2004/12,69.9
2005/1,70
2005/2,70.2
2005/3,70.5
2005/4,70.8
2005/5,71.2
2005/6,71.8
2005/7,71.9
2005/8,72
2005/9,72.2
2005/10,72.5
2005/11,72.6
2005/12,72.6
2006/1,73.1
2006/2,73.3
2006/3,73.4
2006/4,73.6
2006/5,73.8
2006/6,74.1
2006/7,74.4
2006/8,74.8
2006/9,74.9
2006/10,74.8
2006/11,75.1
2006/12,75.1
2007/1,75.2
2007/2,75.3
2007/3,75.4
2007/4,75.4
2007/5,75.7
2007/6,76.1
2007/7,76.2
2007/8,76.5
2007/9,76.7
2007/10,76.7
2007/11,77.2
2007/12,77.3
2008/1,78
2008/2,78.4
2008/3,78.6
2008/4,78.7
2008/5,78.7
2008/6,79
2008/7,79
2008/8,79.1
2008/9,79.1
2008/10,79.1
2008/11,79
2008/12,79.1
2009/1,79.1
2009/2,79.1
2009/3,78.9
2009/4,78.5
2009/5,78.3
2009/6,78.3
2009/7,78.4
2009/8,78.5
2009/9,78.9
2009/10,79.1
2009/11,79.4
2009/12,79.9
2010/1,80.2
2010/2,80
2010/3,80.2
2010/4,80.3
2010/5,80.7
2010/6,80.9
2010/7,80.8
2010/8,81
2010/9,81
2010/10,81.2
2010/11,81.5
2010/12,81.6
2011/1,81.8
2011/2,82.2
2011/3,82.3
2011/4,82.8
2011/5,83.3
2011/6,83.8
2011/7,84
2011/8,84.2
2011/9,84.4
2011/10,84.7
2011/11,85.3
2011/12,85.4
2012/1,85.5
2012/2,85.9
2012/3,86.3
2012/4,86.5
2012/5,86.9
2012/6,87.2
2012/7,87.3
2012/8,87.5
2012/9,87.8
2012/10,88
2012/11,88.2
2012/12,88.4
2013/1,88.5
2013/2,88.5
2013/3,88.6
2013/4,88.7
2013/5,88.8
2013/6,88.8
2013/7,89
2013/8,89.1
2013/9,89.1
2013/10,89.2
2013/11,89.3
2013/12,89.4
2014/1,89.5
2014/2,89.8
2014/3,89.8
2014/4,90.2
2014/5,90.2
2014/6,90.4
2014/7,90.4
2014/8,90.7
2014/9,90.9
2014/10,91
2014/11,91.1
2014/12,91.2
2015/1,91.2
2015/2,91.4
2015/3,91.6
2015/4,91.8
2015/5,92.1
2015/6,92.6
2015/7,92.8
2015/8,93.3
2015/9,93.4
2015/10,93.8
2015/11,93.9
2015/12,94.1
2016/1,94.2
2016/2,94.6
2016/3,94.8
2016/4,95.3
2016/5,96.6
2016/6,97
2016/7,97.8
2016/8,98.2
2016/9,98.5
2016/10,99.5
2016/11,99.9
2016/12,100
2017/1,100.3
2017/2,101.1
2017/3,101.4
2017/4,103
2017/5,103.8
2017/6,103.9
2017/7,104.1
2017/8,104.2
2017/9,104.3
2017/10,104.4
2017/11,104.5
2017/12,104.5
2018/1,104.6
2018/2,104.3
2018/3,104.3
2018/4,104.1
2018/5,104.1
2018/6,104.2
2018/7,104.3
2018/8,104.4
2018/9,104.4
2018/10,104.5
2018/11,104.6
2018/12,104.6
2019/1,104.5
2019/2,104.5
2019/3,104.6
2019/4,104.6
2019/5,104.6
2019/6,104.7
2019/7,104.5
2019/8,104.5
2019/9,105
2019/10,105.2
2019/11,105.3
2019/12,105.5
2020/1,105.4
2020/2,105.9
2020/3,106.3
2020/4,106.4
2020/5,106.5
2020/6,106.7
2020/7,107.2
2020/8,107.7
2020/9,108.8
2020/10,109.5
2020/11,110.2
2020/12,110.8
2021/1,112.2
